locality,value
Albert Park-Middle Park-West St Kilda,495
Armadale,400
Carlton North,530
Carlton-Parkville,380
CBD-St Kilda Rd,440
Collingwood-Abbotsford,440
Docklands,500
East Melbourne,470
East St Kilda,365
Elwood,400
Fitzroy,500
Fitzroy North-Clifton Hill,500
Flemington-Kensington,390
North Melbourne-West Melbourne,400
Port Melbourne,550
Prahran-Windsor,400
Richmond-Burnley,470
South Melbourne,499
South Yarra,420
Southbank,525
St Kilda,380
Toorak,450
Balwyn,497
Blackburn,390
Box Hill,380
Bulleen-Templestowe-Doncaster,440
Burwood-Ashburton,410
Camberwell-Glen Iris,430
Canterbury-Surrey Hills-Mont Albert,450
Chadstone-Oakleigh,400
Clayton,360
Doncaster East-Donvale,450
East Hawthorn,400
Glen Waverley-Mulgrave,440
Hawthorn,370
Kew,478
Mount Waverley,450
Nunawading-Mitcham,375
Vermont-Forest Hill-Burwood East,410
Aspendale-Chelsea-Carrum,380
Bentleigh,430
Brighton,640
Brighton East,600
Carnegie,365
Caulfield,400
Cheltenham,401
Elsternwick,400
Hampton-Beaumaris,495
Malvern,450
Malvern East,390
Mentone-Parkdale-Mordialloc,370
Murrumbeena-Hughesdale,380
Altona,360
Footscray,330
Keilor East-Avondale Heights,375
Melton,285
Newport-Spotswood,440
St Albans-Deer Park,310
Sunshine,310
Sydenham,360
Werribee-Hoppers Crossing,310
West Footscray,335
Williamstown,450
Yarraville-Seddon,410
Broadmeadows-Roxburgh Park,329
Brunswick,410
Coburg-Pascoe Vale South,395
Craigieburn,330
East Brunswick,400
Essendon,355
Gladstone Park-Tullamarine,335
Keilor,388
Moonee Ponds-Ascot Vale,390
Oak Park-Glenroy-Fawkner,345
Pascoe Vale-Coburg North,360
Sunbury,330
West Brunswick,330
Bundoora-Greensborough-Hurstbridge,355
Eltham-Research-Montmorency,400
Fairfield-Alphington,340
Heidelberg-Heidelberg West,360
Ivanhoe-Ivanhoe East,415
Mill Park-Epping,340
Northcote,450
Preston,370
Reservoir,330
Thomastown-Lalor,320
Thornbury,350
Whittlesea,340
Bayswater,350
Boronia,350
Croydon-Lilydale,362
Ferntree Gully,350
Ringwood,360
Rowville,410
Wantirna-Scoresby,395
Yarra Ranges,350
Berwick,370
Cranbourne,350
Dandenong,310
Dandenong North-Endeavour Hills,320
Narre Warren-Hampton Park,345
Noble Park,310
Pakenham,320
Springvale,345
Dromana-Portsea,325
Frankston,320
Hastings-Flinders,320
Mt Eliza-Mornington-Mt Martha,410
Seaford-Carrum Downs,330
Belmont-Grovedale,330
Corio,250
Geelong-Newcombe,300
Herne Hill-Geelong West,290
Lara,330
Newtown,320
North Geelong,310
Ballarat,265
Mount Clear-Buninyong,300
Sebastopol-Delacombe,255
Wendouree-Alfredton,282
Bendigo,278
Flora Hill-Bendigo East,270
Golden Square-Kangaroo Flat,280
North Bendigo,279
Bairnsdale,275
Benalla,230
Castlemaine,300
Echuca,280
Hamilton,230
Horsham,250
Mildura,260
Moe-Newborough,200
Morwell,195
Ocean Grove-Barwon Heads,350
Portland,230
Sale-Maffra,280
Seymour,245
Shepparton,260
Swan Hill,230
Torquay,430
Traralgon,265
Wanagaratta,250
Warragul,280
Warrnambool,290
Wodonga,290
